Year,Continent,TotalCases 
2021,Asia,154283
2021,Asia,154361
2021,Asia,154487
2021,Asia,154487
2021,Asia,154487
2021,Asia,154585
2021,Asia,154712
2021,Asia,154757
2021,Asia,154800
2021,Asia,154960
2021,Asia,154960
2021,Asia,154960
2021,Asia,155072
2021,Asia,155093
2021,Asia,155128
2021,Asia,155174
2021,Asia,155191
2021,Asia,155191
2021,Asia,155191
2021,Asia,155287
2021,Asia,155309
2021,Asia,155380
2021,Asia,155429
2021,Asia,155448
2021,Asia,155466
2021,Asia,155508
2021,Asia,155540
2021,Asia,155599
2021,Asia,155627
2021,Asia,155682
2021,Asia,155688
2021,Asia,155739
2021,Asia,155764
2021,Asia,155776
2021,Asia,155801
2021,Asia,155859
2021,Asia,155891
2021,Asia,155931
2021,Asia,155940
2021,Asia,155944
2021,Asia,156040
2021,Asia,156071
2021,Asia,156124
2021,Asia,156166
2021,Asia,156196
2021,Asia,156210
2021,Asia,156250
2021,Asia,156284
2021,Asia,156307
2021,Asia,156323
2021,Asia,156363
2021,Asia,156392
2021,Asia,156397
2021,Asia,156397
2021,Asia,156397
2021,Asia,156397
2021,Asia,156414
2021,Asia,156456
2021,Asia,156487
2021,Asia,156510
2021,Asia,156552
2021,Asia,156610
2021,Asia,156649
2021,Asia,156739
2021,Asia,156739
2021,Asia,156812
2021,Asia,156864
2021,Asia,156896
2021,Asia,156911
2021,Asia,157015
2021,Asia,157032
2021,Asia,157144
2021,Asia,157171
2021,Asia,157190
2021,Asia,157218
2021,Asia,157260
2021,Asia,157289
2021,Asia,157359
2021,Asia,157387
2021,Asia,157412
2021,Asia,157431
2021,Asia,157454
2021,Asia,157499
2021,Asia,157508
2021,Asia,157542
2021,Asia,157585
2021,Asia,157603
2021,Asia,157611
2021,Asia,157633
2021,Asia,157648
2021,Asia,157660
2021,Asia,157665
2021,Asia,157725
2021,Asia,157734
2021,Asia,157745
2021,Asia,157787
2021,Asia,157797
2021,Asia,157816
2021,Asia,157841
2021,Asia,157878
2021,Asia,157887
2021,Asia,157895
2021,Asia,157951
2021,Asia,157967
2021,Asia,157998
2021,Asia,158037
2021,Asia,158056
2021,Asia,158084
2022,Asia,158107
2022,Asia,158189
2022,Asia,158183
2022,Asia,158205
2022,Asia,158245
2022,Asia,158275
2022,Asia,158300
